Time resolution is 1 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FIFO36E1.v" Line 462: Timing violation in scope /top_tb/u_top/u_memory/u_FIFO36E1/TChk462_8082 at time 1523399380 ps $recrem (negedge RST,posedge RDCLK,(0:0:0),(0:0:0),notifier_rdclk,rdclk_en_p,rdclk_en_p,RST_dly,RDCLK_dly)  $removal violation detected. Time: 1523399380 ps, Ref Event Time Stamp: 1523399380 ps, Data Event Time Stamp: 1523398313 ps, Limit: 2068 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[216].Firstff/TChk170_8162 at time 2000242247 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242247 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[216].Firstff/TChk170_8162 at time 2000242247 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242247 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242247 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[217].Firstff/TChk170_8162 at time 2000242247 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242247 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[217].Firstff/TChk170_8162 at time 2000242247 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242247 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242247 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[218].Firstff/TChk170_8162 at time 2000242247 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242247 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[218].Firstff/TChk170_8162 at time 2000242247 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242247 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242247 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[211].Firstff/TChk170_8162 at time 2000242248 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242248 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[211].Firstff/TChk170_8162 at time 2000242248 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242248 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242248 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[220].Firstff/TChk170_8162 at time 2000242345 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242345 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[220].Firstff/TChk170_8162 at time 2000242345 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242345 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242345 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[221].Firstff/TChk170_8162 at time 2000242345 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242345 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[221].Firstff/TChk170_8162 at time 2000242345 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242345 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242345 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[222].Firstff/TChk170_8162 at time 2000242345 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242345 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[222].Firstff/TChk170_8162 at time 2000242345 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242345 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242345 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[215].Firstff/TChk170_8162 at time 2000242346 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000242346 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000242200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 170: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[215].Firstff/TChk170_8162 at time 2000242346 ps $setuphold (posedge C,posedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000242346 ps, Ref Event Time Stamp: 2000242200 ps, Data Event Time Stamp: 2000242346 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[12].Firstff/TChk168_8160 at time 2000262241 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262241 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262241 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[13].Firstff/TChk168_8160 at time 2000262241 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262241 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262241 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[14].Firstff/TChk168_8160 at time 2000262241 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262241 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262241 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[7].Firstff/TChk168_8160 at time 2000262242 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262242 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262242 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[16].Firstff/TChk168_8160 at time 2000262339 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000262339 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000262200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[16].Firstff/TChk168_8160 at time 2000262339 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262339 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262339 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[17].Firstff/TChk168_8160 at time 2000262339 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000262339 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000262200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[17].Firstff/TChk168_8160 at time 2000262339 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262339 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262339 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[18].Firstff/TChk168_8160 at time 2000262339 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000262339 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000262200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[18].Firstff/TChk168_8160 at time 2000262339 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262339 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262339 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[11].Firstff/TChk168_8160 at time 2000262340 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000262340 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000262200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[11].Firstff/TChk168_8160 at time 2000262340 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000262340 ps, Ref Event Time Stamp: 2000262200 ps, Data Event Time Stamp: 2000262340 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[216].Firstff/TChk168_8160 at time 2000267247 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267247 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[216].Firstff/TChk168_8160 at time 2000267247 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267247 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267247 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[217].Firstff/TChk168_8160 at time 2000267247 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267247 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[217].Firstff/TChk168_8160 at time 2000267247 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267247 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267247 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[218].Firstff/TChk168_8160 at time 2000267247 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267247 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[218].Firstff/TChk168_8160 at time 2000267247 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267247 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267247 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[211].Firstff/TChk168_8160 at time 2000267248 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267248 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[211].Firstff/TChk168_8160 at time 2000267248 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267248 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267248 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[220].Firstff/TChk168_8160 at time 2000267345 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267345 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[220].Firstff/TChk168_8160 at time 2000267345 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267345 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267345 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[221].Firstff/TChk168_8160 at time 2000267345 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267345 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[221].Firstff/TChk168_8160 at time 2000267345 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267345 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267345 ps, Limit: 198 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[222].Firstff/TChk168_8160 at time 2000267345 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $setup violation detected. Time: 2000267345 ps, Data Event Time Stamp: -9223372036854775807 ps, Ref Event Time Stamp: 2000267200 ps, Limit: -45 ps
WARNING: "C:/Xilinx/Vivado/2023.2/data/verilog/src/unisims/FDCE.v" Line 168: Timing violation in scope /top_tb/u_top/u_tdc/u_FineDelay/genblk2[222].Firstff/TChk168_8160 at time 2000267345 ps $setuphold (posedge C,negedge D,(0:0:0),(0:0:0),notifier,in_clk_enable_p,in_clk_enable_p,C_dly,D_dly)  $hold violation detected. Time: 2000267345 ps, Ref Event Time Stamp: 2000267200 ps, Data Event Time Stamp: 2000267345 ps, Limit: 198 ps
